Sample,,,,,,,LPC 20:5 Results,,,LPC 14:0 Results,,,LPC 18:3 Results,,,LPC 16:1 Results,,,LPC 22:6 Results,,,LPC 15:0 Results,,,LPC 20:4 Results,,,LPC 18:2 Results,,,LPC 22:5 Results,,,LPC 17:1 Results,,,LPC 20:3 Results,,,LPC 16:0 Results,,,LPC 18:1 Results,,,LPC 20:2 Results,,,LPC 17:0 (IS) Results,,,LPC 18:0 Results,,,LPC 20:1 Results,,,LPC 19:0 (IS) Results,,,LPC 20:0 (IS) Results,,,LPC 22:1 Results,,,LPC 22:0 Results,,,LPC 24:0 Results,,,MHC d18:1/8:0 STD Results,,,MHC d18:1/16:0d3 (IS) Results,,,MHC d18:1/16:0 Results,,,MHC d18:1/18:0 Results,,,MHC d18:1/20:0 Results,,,MHC d18:1/22:0 Results,,,MHC d18:1/24:1 Results,,,MHC d18:1/24:0 Results,,
,,Name,Data File,Type,Level,Acq. Date-Time,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT
!,,Sample1,1_untreated.d,Sample,,6/14/2016 20:59,4823,0.085,2.196,13832,0.08,2.165,6358,0.176,2.213,19380,0.13,2.409,5745,0.084,2.542,9373,0.081,2.593,34986,0.079,2.604,343173,0.075,2.635,4145,0.146,2.737,3522,0.101,2.756,23241,0.092,2.844,1079079,0.075,2.909,298336,0.08,3.026,2471,0.09,3.145,17130,0.15,3.149,360131,0.078,3.392,2860,0.094,3.462,1294,0.14,3.615,12841,0.084,3.842,161,0.07,3.872,336,0.091,4.283,763,0.086,4.754,3091,0.075,3.825,1818,0.081,5.393,1806,0.082,5.394,468,0.077,5.791,357,0.093,6.124,4458,0.085,6.442,1868,0.047,6.456,5896,0.079,6.745
!,,Sample2,1_30m.d,Sample,,6/14/2016 21:11,2750,0.089,2.196,9423,0.082,2.163,3399,0.18,2.213,12639,0.146,2.409,3129,0.085,2.542,6163,0.08,2.593,18552,0.081,2.604,160800,0.077,2.635,2017,0.146,2.737,2227,0.1,2.756,12698,0.092,2.844,741852,0.075,2.894,176457,0.082,3.026,1474,0.086,3.145,12146,0.148,3.149,246812,0.079,3.392,2073,0.092,3.462,913,0.138,3.615,11750,0.083,3.842,140,0.129,3.872,212,0.086,4.283,424,0.086,4.754,2996,0.075,3.825,2249,0.086,5.393,1379,0.087,5.394,267,0.083,5.76,190,0.086,6.124,1469,0.084,6.458,916,0.076,6.456,2197,0.085,6.745
!,,Sample3,1_3h.d,Sample,,6/14/2016 21:23,2913,0.086,2.196,10783,0.083,2.162,3413,0.183,2.213,13978,0.152,2.425,3035,0.085,2.557,7288,0.08,2.593,19208,0.081,2.604,157788,0.076,2.635,2155,0.085,2.737,2523,0.097,2.756,12597,0.091,2.844,898303,0.075,2.894,202593,0.082,3.026,1758,0.085,3.145,14719,0.148,3.149,310889,0.078,3.392,2932,0.089,3.462,1074,0.135,3.615,12239,0.083,3.842,163,0.146,3.872,268,0.089,4.283,438,0.085,4.754,2961,0.075,3.825,1963,0.095,5.393,1490,0.09,5.394,118,0.085,5.791,116,0.169,6.108,1720,0.079,6.458,1205,0.04,6.456,2401,0.081,6.745
!,,Sample4,1_8h.d,Sample,,6/14/2016 21:35,2571,0.086,2.196,11115,0.083,2.166,2999,0.18,2.213,13682,0.152,2.425,3032,0.084,2.542,7617,0.081,2.593,17679,0.082,2.619,138041,0.077,2.635,2019,0.085,2.737,2610,0.109,2.756,11808,0.091,2.859,961245,0.074,2.909,202959,0.081,3.026,1835,0.087,3.145,16054,0.15,3.149,341266,0.078,3.392,3327,0.089,3.462,1207,0.144,3.615,12643,0.084,3.842,137,0.101,3.872,291,0.086,4.299,528,0.089,4.754,3031,0.076,3.825,1873,0.101,5.378,1317,0.1,5.394,143,0.073,5.791,112,0.079,6.139,1866,0.085,6.458,910,0.104,6.456,2228,0.081,6.745
!,,Sample5,1_16h.d,Sample,,6/14/2016 21:59,2485,0.089,2.196,11041,0.083,2.168,2923,0.172,2.213,13342,0.154,2.425,2864,0.082,2.542,7783,0.081,2.593,17339,0.082,2.604,126712,0.077,2.635,2006,0.089,2.737,2839,0.1,2.756,12252,0.091,2.844,1041383,0.075,2.894,208127,0.081,3.026,1884,0.089,3.145,16712,0.139,3.149,367434,0.077,3.392,3782,0.087,3.462,1325,0.09,3.615,12711,0.083,3.842,204,0.093,3.872,321,0.084,4.299,422,0.09,4.754,3081,0.076,3.825,2079,0.087,5.393,1190,0.081,5.409,227,0.069,5.791,166,0.091,6.154,1513,0.083,6.458,1040,0.064,6.456,2209,0.075,6.745
!,,Sample6,2_untreated.d,Sample,,6/14/2016 22:11,2272,0.086,2.196,10177,0.084,2.17,2535,0.17,2.213,12685,0.162,2.425,2823,0.079,2.542,7679,0.081,2.593,16210,0.08,2.604,113582,0.077,2.635,2152,0.087,2.737,2985,0.104,2.756,12163,0.092,2.844,1076469,0.075,2.894,208956,0.081,3.026,2094,0.086,3.145,16879,0.137,3.149,385171,0.077,3.392,4190,0.083,3.462,1427,0.095,3.615,12846,0.083,3.842,195,0.101,3.872,330,0.088,4.283,489,0.089,4.754,2988,0.076,3.825,2024,0.097,5.409,1246,0.109,5.409,113,0.078,5.76,68,0.129,6.124,1875,0.095,6.458,1042,0.079,6.456,2230,0.077,6.745
!,,Sample7,2_30m.d,Sample,,6/14/2016 22:23,2613,0.086,2.196,14051,0.083,2.164,3147,0.178,2.213,16440,0.161,2.425,3543,0.086,2.557,9966,0.08,2.593,19253,0.082,2.604,130444,0.077,2.635,2280,0.085,2.737,3390,0.109,2.756,13416,0.093,2.859,1335303,0.076,2.909,265124,0.082,3.026,2681,0.091,3.145,23067,0.146,3.149,542878,0.077,3.392,5899,0.087,3.462,1851,0.096,3.615,14347,0.083,3.842,260,0.106,3.887,443,0.083,4.299,588,0.096,4.754,3293,0.075,3.825,2025,0.094,5.393,1285,0.099,5.409,237,0.099,5.775,198,0.144,6.124,2361,0.078,6.458,1328,0.064,6.456,2871,0.077,6.745
!,,Sample8,2_3h.d,Sample,,6/14/2016 22:35,17515,0.084,2.196,52307,0.082,2.165,20807,0.174,2.213,70624,0.141,2.409,20909,0.085,2.542,37754,0.08,2.593,140789,0.079,2.604,1256808,0.076,2.635,12734,0.161,2.737,12535,0.103,2.756,75426,0.085,2.844,3113660,0.081,2.909,1015923,0.082,3.026,7586,0.089,3.145,62805,0.156,3.149,1307440,0.08,3.392,10184,0.085,3.462,4347,0.096,3.615,18912,0.082,3.842,517,0.115,3.872,1094,0.09,4.299,2290,0.084,4.754,4255,0.074,3.825,688,0.085,5.409,3213,0.086,5.409,412,0.084,5.791,779,0.077,6.139,10315,0.082,6.458,6014,0.071,6.456,13374,0.08,6.745
!,,Sample9,2_8h.d,Sample,,6/14/2016 23:11,2045,0.089,2.196,7982,0.084,2.161,1498,0.163,2.213,11811,0.095,2.409,2980,0.088,2.557,4265,0.082,2.593,13740,0.083,2.604,58469,0.078,2.635,1010,0.165,2.737,1308,0.097,2.756,7547,0.091,2.844,529263,0.074,2.909,67337,0.086,3.026,846,0.086,3.145,7434,0.152,3.149,153897,0.08,3.407,920,0.084,3.462,512,0.147,3.63,10767,0.085,3.842,96,0.119,3.872,90,0.08,4.299,228,0.083,4.754,2792,0.075,3.825,2062,0.105,5.409,769,0.031,5.409,120,0.074,5.775,108,0.097,6.17,1351,0.086,6.458,972,0.087,6.456,1762,0.081,6.745
