Sample,,,,,,S1P d16:1 Results,,,S1P d17:1 Results,,,S1P d18:0 Results,,,S1P d18:1 Results,,,S1P d18:1 13C2D2 (IS) Results,,,S1P d18:2 Results,,,S1P d19:1 Results,,,S1P d20:1 Results,,
,,Name,Data File,Sample Group,Acq. Date-Time,Area,RT,FWHM,Area,RT,FWHM,Area,RT,FWHM,Area,RT,FWHM,Area,RT,FWHM,Area,RT,FWHM,Area,RT,FWHM,Area,RT,FWHM
,,001_EQC_TQC prerun 01,001_EQC_TQC prerun 01.d,Calibration,19/4/2018 5:46 PM,5759,3.471,0.057,4470,3.437,0.056,16035,3.393,0.059,135890,3.410,0.055,38791,3.408,0.056,20921,3.436,0.055,3237,3.382,0.057,863,3.348,0.060
,,002_EQC_TQC prerun 02,002_EQC_TQC prerun 02.d,Calibration,19/4/2018 5:56 PM,6308,3.463,0.055,4472,3.429,0.056,17410,3.384,0.059,135399,3.402,0.055,39307,3.400,0.056,21184,3.428,0.056,2794,3.366,0.057,683,3.340,0.121
,,003_EQC_TQC prerun 03,003_EQC_TQC prerun 03.d,Calibration,19/4/2018 6:07 PM,5637,3.463,0.055,4551,3.429,0.057,15379,3.384,0.061,149302,3.402,0.054,37571,3.400,0.056,21379,3.436,0.056,3035,3.374,0.057,889,3.340,0.060
,,004_EQC_TQC prerun 04,004_EQC_TQC prerun 04.d,Calibration,19/4/2018 6:17 PM,5780,3.463,0.056,4613,3.429,0.056,16219,3.384,0.060,139027,3.402,0.055,39008,3.400,0.056,22510,3.436,0.056,3045,3.374,0.055,833,3.340,0.032
,,005_EQC_TQC prerun 05,005_EQC_TQC prerun 05.d,Calibration,19/4/2018 6:27 PM,6697,3.463,0.054,4276,3.429,0.057,17599,3.384,0.060,139084,3.402,0.055,37881,3.400,0.056,21085,3.436,0.055,3026,3.374,0.057,45,3.240,0.048
!,!,006_EBLK_Extracted Blank+ISTD01,006_EBLK_Extracted Blank+ISTD01.d,BlankExIS,19/4/2018 6:37 PM,33,3.397,0.037,27,3.362,0.035,,,,66,3.360,0.052,43545,3.400,0.054,42,3.370,0.058,98,3.349,0.094,23,3.365,0.028
!,!,007_SOLV_Blank01,007_SOLV_Blank01.d,Blank,19/4/2018 6:48 PM,29,3.471,0.061,22,3.437,0.056,60,3.301,0.075,18,3.468,0.021,24,3.450,0.027,49,3.453,0.075,41,3.349,0.048,3,3.381,0.019
!,!,008_LTR_LTR01,008_LTR_LTR01.d,LTR,19/4/2018 6:58 PM,11181,3.463,0.050,2760,3.429,0.056,9919,3.384,0.059,85299,3.402,0.055,56121,3.400,0.055,31526,3.436,0.056,1638,3.374,0.058,206,3.340,0.077
!,!,009_NIST_NIST01,009_NIST_NIST01.d,NIST,19/4/2018 7:08 PM,10625,3.463,0.055,2068,3.429,0.059,11335,3.384,0.059,71386,3.402,0.056,41586,3.400,0.055,21654,3.436,0.056,1739,3.374,0.058,141,3.348,0.116
!,!,010_TQCd-0_TQC-0percent,010_TQCd-0_TQC-0percent.d,Dilution,19/4/2018 7:18 PM,52,3.562,0.065,43,3.412,0.049,34,3.442,0.042,4,3.452,0.017,110,3.425,0.064,46,3.436,0.053,14,3.291,0.049,9,3.315,0.058
!,!,011_TQCd-20_TQC-20percent,011_TQCd-20_TQC-20percent.d,Dilution,19/4/2018 7:29 PM,2014,3.463,0.062,1284,3.429,0.059,4945,3.384,0.060,40701,3.402,0.054,11419,3.400,0.056,5691,3.428,0.056,914,3.374,0.049,213,3.348,0.108
,,012_TQCd-40_TQC-40percent,012_TQCd-40_TQC-40percent.d,Dilution,19/4/2018 7:39 PM,3313,3.471,0.054,2205,3.437,0.056,8639,3.384,0.061,67842,3.402,0.055,20436,3.400,0.055,10063,3.436,0.056,1542,3.374,0.055,310,3.348,0.055
,,013_TQCd-60_TQC-60percent,013_TQCd-60_TQC-60percent.d,Dilution,19/4/2018 7:49 PM,5044,3.463,0.055,3287,3.429,0.057,12032,3.384,0.060,104427,3.402,0.055,29285,3.400,0.055,15580,3.436,0.056,2239,3.374,0.057,611,3.340,0.039
,,014_TQCd-80_TQC-80percent,014_TQCd-80_TQC-80percent.d,Dilution,19/4/2018 7:59 PM,5768,3.463,0.055,4089,3.429,0.057,16535,3.384,0.060,125274,3.402,0.055,34586,3.400,0.056,20410,3.436,0.056,3069,3.374,0.057,610,3.340,0.108
,,015_TQCd-100_TQC-100percent,015_TQCd-100_TQC-100percent.d,Dilution,19/4/2018 8:09 PM,6892,3.463,0.055,4562,3.437,0.057,19101,3.384,0.060,159280,3.402,0.055,42634,3.400,0.056,23401,3.436,0.056,3430,3.374,0.058,848,3.348,0.036
,,016_TQC_TQC01,016_TQC_TQC01.d,TQC,19/4/2018 8:20 PM,6383,3.463,0.055,4807,3.429,0.057,19163,3.384,0.059,144713,3.402,0.055,43070,3.400,0.055,24156,3.428,0.056,3487,3.374,0.057,988,3.340,0.039
,,017_TQC_TQC02,017_TQC_TQC02.d,TQC,19/4/2018 8:30 PM,6628,3.463,0.055,4705,3.429,0.056,17115,3.384,0.060,154497,3.402,0.055,44076,3.400,0.056,23079,3.436,0.056,3158,3.374,0.058,745,3.340,0.067
,,018_BQC_PQC01,018_BQC_PQC01.d,BQC,19/4/2018 8:40 PM,6672,3.463,0.054,4791,3.429,0.056,18136,3.384,0.060,153694,3.402,0.055,42636,3.400,0.056,24275,3.436,0.055,3162,3.374,0.057,905,3.340,0.054
,,019_BQC_PQC02,019_BQC_PQC02.d,BQC,19/4/2018 8:50 PM,5983,3.463,0.048,4166,3.437,0.057,18175,3.384,0.059,145516,3.402,0.055,41431,3.408,0.056,22445,3.436,0.056,3228,3.374,0.057,929,3.348,0.050
,,020_SPL_S001_Martin 0,020_SPL_S001_Martin 0.d,Sample,19/4/2018 9:01 PM,6730,3.463,0.055,3901,3.429,0.057,7879,3.384,0.061,88725,3.402,0.055,39456,3.400,0.055,15416,3.428,0.056,1948,3.366,0.059,457,3.340,0.116
!,!,021_SPL_S002_LZ156347,021_SPL_S002_LZ156347.d,Sample,19/4/2018 9:11 PM,5789,3.463,0.055,3975,3.429,0.057,18221,3.384,0.060,149176,3.402,0.055,38985,3.400,0.056,18555,3.436,0.056,3175,3.374,0.057,1518,3.348,0.052
!,!,022_SPL_S003_Schneider 0,022_SPL_S003_Schneider 0.d,Sample,19/4/2018 9:21 PM,4473,3.463,0.055,3590,3.429,0.056,18699,3.384,0.059,149991,3.402,0.055,41223,3.400,0.056,26038,3.436,0.055,3026,3.374,0.057,739,3.340,0.028
,,023_SPL_S004_VM353831,023_SPL_S004_VM353831.d,Sample,19/4/2018 9:31 PM,4181,3.463,0.055,4293,3.429,0.056,18677,3.384,0.058,116771,3.402,0.055,37022,3.400,0.055,24721,3.436,0.056,3086,3.366,0.059,807,3.340,0.052
,,024_SPL_S005_Fehr 0,024_SPL_S005_Fehr 0.d,Sample,19/4/2018 9:42 PM,6954,3.463,0.055,6193,3.429,0.056,40389,3.384,0.060,298046,3.402,0.055,40474,3.400,0.056,28744,3.436,0.056,7625,3.374,0.057,2153,3.348,0.055
,,025_SPL_S006_Fehr 1,025_SPL_S006_Fehr 1.d,Sample,19/4/2018 9:52 PM,6770,3.463,0.055,5108,3.437,0.056,31303,3.384,0.060,236194,3.402,0.055,45721,3.408,0.056,23152,3.436,0.056,5542,3.374,0.057,1702,3.348,0.060
,,026_SPL_S007_LZ154999,026_SPL_S007_LZ154999.d,Sample,19/4/2018 10:02 PM,4560,3.463,0.055,3346,3.429,0.058,17558,3.376,0.059,127091,3.402,0.055,42581,3.400,0.055,21353,3.428,0.056,2741,3.366,0.057,822,3.340,0.060
,,027_SPL_S008_VM347457,027_SPL_S008_VM347457.d,Sample,19/4/2018 10:12 PM,4067,3.463,0.055,2451,3.429,0.057,20495,3.384,0.058,115956,3.402,0.055,42226,3.400,0.055,16977,3.436,0.056,2510,3.374,0.058,847,3.348,0.057
,,028_BQC_PQC03,028_BQC_PQC03.d,BQC,19/4/2018 10:23 PM,5930,3.463,0.055,4701,3.429,0.054,17951,3.384,0.060,153995,3.402,0.055,41569,3.400,0.056,23221,3.436,0.056,3330,3.374,0.058,973,3.340,0.057
,,029_SPL_S009_Rahm 0,029_SPL_S009_Rahm 0.d,Sample,19/4/2018 10:33 PM,4806,3.463,0.054,3606,3.429,0.057,25893,3.384,0.059,197434,3.402,0.055,41653,3.400,0.056,23353,3.436,0.056,3989,3.374,0.057,1246,3.340,0.059
