Sample,Cell Number,ISTD Volume
Condition_r1.d,0,0
Condition_r2.d,0,0
Condition_r3.d,0,0
Condition_r4.d,0,0
Condition_r5.d,0,0
Condition_r6.d,0,0
BLANK-01 (Eluent A).d,0,0
B-ISTD 01 Extr.d,0,10
Un-ISTD 01 Unextr.d,0,10
LTR 01.d,30,0
NIST 01.d,30,0
TQC-10%.d,30,20
TQC-20%.d,30,20
TQC-40%.d,30,20
TQC-60%.d,30,20
TQC-80%.d,30,20
TQC-100%.d,30,20
batch1_TQC01.d,50,30
batch1_TQC02.d,50,30
batch1_PQC 01.d,50,30
batch1_PQC 02.d,50,30
batch1_1.d,50,30
batch1_2.d,50,30
batch1_3.d,50,30
batch1_4.d,50,30
batch1_5.d,50,30
batch1_TQC03.d,50,30
batch1_6.d,50,30
batch1_7.d,50,30
batch1_8.d,50,30
batch1_9.d,50,30
batch1_10.d,50,30
batch1_PQC 03.d,50,30
batch1_11.d,50,30
batch1_12.d,50,30
batch1_13.d,50,30
batch1_14.d,50,30
batch1_15.d,50,30
batch1_TQC04.d,50,30
batch1_16.d,50,30
batch1_17.d,50,30
batch1_18.d,50,30
batch1_19.d,50,30
batch1_20.d,50,30
batch1_PQC 04.d,50,30
batch1_21.d,50,30
batch1_22.d,50,30
batch1_23.d,50,30
batch1_24.d,50,30
batch1_25.d,50,30
batch1_TQC05.d,50,30
batch1_26.d,50,30
batch1_27.d,50,30
batch1_28.d,50,30
batch1_29.d,50,30
batch1_30.d,50,30
batch1_PQC 05.d,50,30
batch1_31.d,50,30
batch1_32.d,50,30
batch1_33.d,50,30
batch1_34.d,50,30
batch1_35.d,50,30
batch1_TQC06.d,50,30
batch1_36.d,50,30
batch1_37.d,50,30
batch1_38.d,50,30
batch1_39.d,50,30
batch1_40.d,50,30
batch1_PQC 06.d,50,30
batch1_41.d,50,30
batch1_42.d,50,30
batch1_43.d,50,30
batch1_44.d,50,30
batch1_45.d,50,30
batch1_TQC07.d,50,30
batch1_46.d,50,30
batch1_47.d,50,30
batch1_48.d,50,30
batch1_49.d,50,30
batch1_50.d,50,30
batch1_PQC 07.d,50,30
batch1_51.d,50,30
batch1_52.d,50,30
batch1_53.d,50,30
batch1_54.d,50,30
batch1_55.d,50,30
batch1_TQC08.d,50,30
batch1_56.d,50,30
batch1_57.d,50,30
batch1_58.d,50,30
batch1_59.d,50,30
batch1_60.d,50,30
batch1_PQC 08.d,50,30
batch1_61.d,50,30
batch1_62.d,50,30
batch1_63.d,50,30
batch1_64.d,50,30
batch1_65.d,50,30
batch1_PQC 09.d,50,30
batch1_PQC 09b.d,50,30
BLANK-02 (Eluent A).d,0,0
batch2_TQC09.d,30,15
batch2_TQC10.d,30,15
batch2_PQC 10.d,30,15
batch2_PQC 11.d,30,15
batch2_1.d,30,15
batch2_2.d,30,15
batch2_3.d,30,15
batch2_4.d,30,15
batch2_5.d,30,15
batch2_TQC11.d,30,15
batch2_6.d,30,15
batch2_7.d,30,15
batch2_8.d,30,15
batch2_9.d,30,15
batch2_10.d,30,15
batch2_PQC 12.d,30,15
batch2_11.d,30,15
batch2_12.d,30,15
batch2_13.d,30,15
batch2_14.d,30,15
batch2_15.d,30,15
batch2_TQC12.d,30,15
batch2_16.d,30,15
batch2_17.d,30,15
batch2_18.d,30,15
batch2_19.d,30,15
batch2_20.d,30,15
batch2_TQC12b.d,30,15
batch2_TQC12c.d,30,15
batch2_TQC12d.d,30,15
batch2_TQC12e.d,30,15
batch2_TQC12f.d,30,15
batch2_PQC 13.d,30,15
batch2_21.d,30,15
batch2_22.d,30,15
batch2_23.d,30,15
batch2_24.d,30,15
batch2_25.d,30,15
batch2_TQC13.d,30,15
batch2_26.d,30,15
batch2_27.d,30,15
batch2_28.d,30,15
batch2_29.d,30,15
batch2_30.d,30,15
batch2_PQC 14.d,30,15
batch2_31.d,30,15
batch2_32.d,30,15
batch2_33.d,30,15
batch2_34.d,30,15
batch2_35.d,30,15
batch2_TQC14.d,30,15
batch2_36.d,30,15
batch2_37.d,30,15
batch2_38.d,30,15
batch2_39.d,30,15
batch2_40.d,30,15
batch2_PQC 15.d,30,15
batch2_41.d,30,15
batch2_42.d,30,15
batch2_43.d,30,15
batch2_44.d,30,15
batch2_45.d,30,15
batch2_TQC15.d,30,15
batch2_46.d,30,15
batch2_47.d,30,15
batch2_48.d,30,15
batch2_49.d,30,15
batch2_50.d,30,15
batch2_PQC 16.d,30,15
batch2_51.d,30,15
batch2_52.d,30,15
batch2_53.d,30,15
batch2_54.d,30,15
batch2_55.d,30,15
batch2_TQC16.d,30,15
batch2_56.d,30,15
batch2_57.d,30,15
batch2_58.d,30,15
batch2_59.d,30,15
batch2_60.d,30,15
batch2_PQC 17.d,30,15
batch2_61.d,30,15
batch2_62.d,30,15
batch2_63.d,30,15
batch2_64.d,30,15
batch2_65.d,30,15
batch2_PQC 18.d,30,15
batch2_PQC 18b.d,30,15
BLANK-03 (Eluent A).d,0,0
batch3_TQC17.d,20,10
batch3_TQC18.d,20,10
batch3_PQC 19.d,20,10
batch3_PQC 20.d,20,10
batch3_1.d,20,10
batch3_2.d,20,10
batch3_3.d,20,10
batch3_4.d,20,10
batch3_5.d,20,10
batch3_TQC19.d,20,10
batch3_6.d,20,10
batch3_7.d,20,10
batch3_8.d,20,10
batch3_9.d,20,10
batch3_10.d,20,10
batch3_PQC 21.d,20,10
batch3_11.d,20,10
batch3_12.d,20,10
batch3_13.d,20,10
batch3_14.d,20,10
batch3_15.d,20,10
batch3_TQC20.d,20,10
batch3_16.d,20,10
batch3_17.d,20,10
batch3_18.d,20,10
batch3_19.d,20,10
batch3_20.d,20,10
batch3_PQC 22.d,20,10
batch3_21.d,20,10
batch3_22.d,20,10
batch3_23.d,20,10
batch3_24.d,20,10
batch3_25.d,20,10
batch3_TQC21.d,20,10
batch3_26.d,20,10
batch3_27.d,20,10
batch3_28.d,20,10
batch3_29.d,20,10
batch3_30.d,20,10
batch3_PQC 23.d,20,10
batch3_31.d,20,10
batch3_32.d,20,10
batch3_33.d,20,10
batch3_34.d,20,10
batch3_35.d,20,10
batch3_TQC22.d,20,10
batch3_36.d,20,10
batch3_37.d,20,10
batch3_38.d,20,10
batch3_39.d,20,10
batch3_40.d,20,10
batch3_PQC 24.d,20,10
batch3_41.d,20,10
batch3_42.d,20,10
batch3_43.d,20,10
batch3_44.d,20,10
batch3_45.d,20,10
batch3_TQC23.d,20,10
batch3_46.d,20,10
batch3_47.d,20,10
batch3_48.d,20,10
batch3_49.d,20,10
batch3_50.d,20,10
batch3_PQC 25.d,20,10
batch3_TQC23a.d,20,10
batch3_TQC23b.d,20,10
batch3_TQC23c.d,20,10
batch3_TQC23d.d,20,10
batch3_51.d,20,10
batch3_52.d,20,10
batch3_53.d,20,10
batch3_54.d,20,10
batch3_55.d,20,10
batch3_TQC24.d,20,10
batch3_56.d,20,10
batch3_57.d,20,10
batch3_58.d,20,10
